"Found 7 local results."
"Request date: 2023-03-21"
"VIN","MODEL","TRIM","MILAGE","AP","PRICE","LOCATION"
"5YJ3E1EA6JF160800","m3","Model 3 Mid Range Rear-Wheel Drive","29276 Miles","AUTOPILOT_FULL_SELF_DRIVING","$35700","RENTON, WA"
"5YJ3E1EA1KF325041","m3","Model 3 Long Range Rear-Wheel Drive","32515 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38600","RENTON, WA"
"5YJ3E1EB7KF511238","m3","Model 3 Long Range All-Wheel Drive","30247 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41100","RENTON, WA"
"5YJ3E1EB3KF390725","m3","Model 3 Long Range All-Wheel Drive","24436 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41400","RENTON, WA"
"5YJ3E1EB5KF510640","m3","Model 3 Long Range All-Wheel Drive","24730 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41500","RENTON, WA"
"5YJ3E1EB0KF511078","m3","Model 3 Long Range All-Wheel Drive","16937 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41600","RENTON, WA"
"5YJ3E1EB4KF359466","m3","Model 3 Long Range All-Wheel Drive","27863 Miles","AUTOPILOT_FULL_SELF_DRIVING","$42300","RENTON, WA"
"Found 66 additional results."
"Request date: 2023-03-21"
"VIN","MODEL","TRIM","MILAGE","AP","PRICE","LOCATION"
"5YJ3E1EA6JF017913","m3","Model 3 Long Range Rear-Wheel Drive","41721 Miles","AUTOPILOT_FULL_SELF_DRIVING","$34600","Franklin, TN"
"5YJ3E1EA7JF095214","m3","Model 3 Long Range Rear-Wheel Drive","49707 Miles","AUTOPILOT_FULL_SELF_DRIVING","$35400","Unknown"
"5YJ3E1EA6JF036283","m3","Model 3 Long Range Rear-Wheel Drive","61569 Miles","AUTOPILOT_FULL_SELF_DRIVING","$35700","LONG BEACH, CA"
"5YJ3E1EB5JF186684","m3","Model 3 Long Range All-Wheel Drive","51658 Miles","AUTOPILOT_FULL_SELF_DRIVING","$36600","Carson, CA"
"5YJ3E1EA0JF032357","m3","Model 3 Long Range Rear-Wheel Drive","42493 Miles","AUTOPILOT_FULL_SELF_DRIVING","$37600","Silver Spring, MD"
"5YJ3E1EB4KF450656","m3","Model 3 Long Range All-Wheel Drive","59910 Miles","AUTOPILOT_FULL_SELF_DRIVING","$37600","LAS VEGAS, NV"
"5YJ3E1EB9JF068914","m3","Model 3 Long Range All-Wheel Drive","42032 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38000","Dedham, MA"
"5YJ3E1EBXJF087620","m3","Model 3 Long Range All-Wheel Drive","42073 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38100","LONG BEACH, CA"
"5YJ3E1EB0JF113612","m3","Model 3 Long Range All-Wheel Drive","32141 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38200","Mount Kisco, NY"
"5YJ3E1EB8JF100140","m3","Model 3 Long Range All-Wheel Drive","34943 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38500","Libertyville, IL"
"5YJ3E1EA6JF126453","m3","Model 3 Long Range Rear-Wheel Drive","38729 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38500","Carson, CA"
"5YJ3E1EB6KF517841","m3","Model 3 Long Range All-Wheel Drive","55562 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38600","Lathrop, CA"
"5YJ3E1EB3KF465178","m3","Model 3 Long Range All-Wheel Drive","57014 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38600","Temecula, CA"
"5YJ3E1EB8JF065910","m3","Model 3 Long Range All-Wheel Drive","39196 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38700","ORLANDO, FL"
"5YJ3E1EA5KF326712","m3","Model 3 Long Range Rear-Wheel Drive","38395 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38800","Orland Park, IL"
"5YJ3E1EB5KF512730","m3","Model 3 Long Range All-Wheel Drive","45017 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38900","Carson, CA"
"5YJ3E1EB2KF450879","m3","Model 3 Long Range All-Wheel Drive","39803 Miles","AUTOPILOT_FULL_SELF_DRIVING","$38900","Mount Kisco, NY"
"5YJ3E1EB5KF469278","m3","Model 3 Long Range All-Wheel Drive","44833 Miles","AUTOPILOT_FULL_SELF_DRIVING","$39100","Colma, CA"
"5YJ3E1EB6KF452313","m3","Model 3 Long Range All-Wheel Drive","36551 Miles","AUTOPILOT_FULL_SELF_DRIVING","$39300","Carson, CA"
"5YJ3E1EB6KF494500","m3","Model 3 Long Range All-Wheel Drive","46563 Miles","AUTOPILOT_FULL_SELF_DRIVING","$39500","ORLANDO, FL"
"5YJ3E1EA4JF032958","m3","Model 3 Long Range Rear-Wheel Drive","29252 Miles","AUTOPILOT_FULL_SELF_DRIVING","$39500","Dedham, MA"
"5YJ3E1EB6KF493735","m3","Model 3 Long Range All-Wheel Drive","32754 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40100","Cherry Hill, NJ"
"5YJ3E1EB9KF512004","m3","Model 3 Long Range All-Wheel Drive","48645 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40100","Rockville, MD"
"5YJ3E1EA9JF078267","m3","Model 3 Long Range Rear-Wheel Drive","16980 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40100","Springfield, NJ"
"5YJ3E1EB5LF600646","m3","Model 3 Long Range All-Wheel Drive","54229 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40200","LONG BEACH, CA"
"5YJ3E1EB0LF628774","m3","Model 3 Long Range All-Wheel Drive","48300 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40400","Orland Park, IL"
"5YJ3E1EB9LF710860","m3","Model 3 Long Range All-Wheel Drive","56572 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40400","Libertyville, IL"
"5YJ3E1EB1LF620960","m3","Model 3 Long Range All-Wheel Drive","38686 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40500","Cherry Hill, NJ"
"5YJ3E1EA2JF095055","m3","Model 3 Long Range Rear-Wheel Drive","21780 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40600","Orland Park, IL"
"5YJ3E1EB6LF646079","m3","Model 3 Long Range All-Wheel Drive","38558 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40600","Orland Park, IL"
"5YJ3E1EB0LF650547","m3","Model 3 Long Range All-Wheel Drive","20595 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40600","Aurora, CO"
"5YJ3E1EB8LF646066","m3","Model 3 Long Range All-Wheel Drive","46662 Miles","AUTOPILOT_FULL_SELF_DRIVING","$40900","Silver Spring, MD"
"5YJ3E1EB8KF209411","m3","Model 3 Long Range All-Wheel Drive","32101 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41200","Unknown"
"5YJ3E1EB8KF407289","m3","Model 3 Long Range All-Wheel Drive","24726 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41300","Carson, CA"
"5YJ3E1EB0KF385515","m3","Model 3 Long Range All-Wheel Drive","30902 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41300","LONG BEACH, CA"
"5YJ3E1EB7KF533403","m3","Model 3 Long Range All-Wheel Drive","40758 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41300","Rockville, MD"
"5YJ3E1EB7LF638072","m3","Model 3 Long Range All-Wheel Drive","33407 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41600","LONG BEACH, CA"
"5YJ3E1EB0LF635885","m3","Model 3 Long Range All-Wheel Drive","30036 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41700","Silver Spring, MD"
"5YJ3E1EB6KF511926","m3","Model 3 Long Range All-Wheel Drive","35140 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41800","LONG BEACH, CA"
"5YJ3E1EB9KF389613","m3","Model 3 Long Range All-Wheel Drive","31017 Miles","AUTOPILOT_FULL_SELF_DRIVING","$41800","Scottsdale, AZ"
"5YJ3E1EB7MF902165","m3","Model 3 Long Range All-Wheel Drive","63076 Miles","AUTOPILOT_FULL_SELF_DRIVING","$42200","Rockville, MD"
"5YJ3E1EB8KF452510","m3","Model 3 Long Range All-Wheel Drive","17382 Miles","AUTOPILOT_FULL_SELF_DRIVING","$42400","Unknown"
"5YJ3E1EB8KF494756","m3","Model 3 Long Range All-Wheel Drive","35180 Miles","AUTOPILOT_FULL_SELF_DRIVING","$42700","Lisle, IL"
"5YJ3E1EB3LF647450","m3","Model 3 Long Range All-Wheel Drive","35095 Miles","AUTOPILOT_FULL_SELF_DRIVING","$42800","Lisle, IL"
"5YJ3E1EB4LF620709","m3","Model 3 Long Range All-Wheel Drive","31904 Miles","AUTOPILOT_FULL_SELF_DRIVING","$42800","Mesa, AZ"
"5YJ3E1EB5KF453758","m3","Model 3 Long Range All-Wheel Drive","25916 Miles","AUTOPILOT_FULL_SELF_DRIVING","$43100","Rockville, MD"
"5YJ3E1EB2KF451501","m3","Model 3 Long Range All-Wheel Drive","34441 Miles","AUTOPILOT_FULL_SELF_DRIVING","$43100","Orland Park, IL"
"5YJ3E1EB5LF620556","m3","Model 3 Long Range All-Wheel Drive","29836 Miles","AUTOPILOT_FULL_SELF_DRIVING","$43200","Rockville, MD"
